cegme	training	ashton kutcher	I couldn't image ██████████████ in a serious role, but his performance truly
SSharath-Kumar	training	Pat	If so god has quite the sense of humor watching ███ make a fool of himself again and again..Before I start...let me say that I fully believe in God.
SSharath-Kumar	training	Fishburne	Second, █████████ is the first black actor to play Othello in a film.
SSharath-Kumar	training	Oliver Stapleton	The cinematographer is ████████████████ who had only photographed some Indy films before Haill Haill Rock Roll but would go on to do such films as Earth Girls Are Easy, The Grifters, The Cider House Rules, Buffalo Soldiers and Pay it Forward.
SSharath-Kumar	training	Luke Wilson	███████████ is good, but he can only do so much.
SSharath-Kumar	training	Hector Perez	In 1963, ████████████ was already a promising young singer in his native Puerto Rico when, at the age of seventeen, he moved to New York City to try and make a name for himself as a performer there.
SSharath-Kumar	training	Williams	What made the case notable was that the ordeal was stretched out over several years and four lengthy trials that highlighted ████████' cunning nature and taxed the patience of even the most benevolent of Savannah's citizens, all of which the filmmakers condense into one trial and a handful of clich courtroom moments.br
SSharath-Kumar	training	Shakespeare	Sure, ███████████'s text can give you goosebumps even when hammered out with selfimportance, but to see a production where true inventiveness makes wonderful words even more so by the provision of context or nuance not found in the stage directions is simply aweinspiring.
SSharath-Kumar	training	Jack Torrence	Then they begin to slowly unravel somewhat like █████████████ in 'The Shining'.
SSharath-Kumar	training	a Lucas Buck	There is ████████████ in every Southern town who has only to make a phone call to make things happen, and the storybook "po' white trash" are all too familiar.
SSharath-Kumar	training	Andy Garcia	███████████ is convincing as the haunted psychologist and superb as the grieving father, so much so that it makes for hard viewing.
SSharath-Kumar	training	Christy	███████ struggles with love, parental attention, questions of self worth and capability.
adityakasturi8	training	Mark Piznarski	The 60s (1999) D: ██████████████. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Josh Hamilton	The 60s (1999) D: Mark Piznarski. █████████████, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Julia Stiles	The 60s (1999) D: Mark Piznarski. Josh Hamilton, ████████████, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Jerry O'Connell	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, ███████████████, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Jeremy Sisto	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, ████████████, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Jordana Brewster	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, ████████████████, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Leonard Roberts	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, ███████████████, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Bill Smitrovich	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, ███████████████, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Annie Corley	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, ████████████, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Charles S. Dutton	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, █████████████████. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as Reverend Willie Taylor and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Reverend Willie Taylor	The 60s (1999) D: Mark Piznarski. Josh Hamilton, Julia Stiles, Jerry O'Connell, Jeremy Sisto, Jordana Brewster, Leonard Roberts, Bill Smitrovich, Annie Corley, Charles S. Dutton. NBC mini-series (later released to video/DVD as full length feature film) about the treacherous 1960s, as seen through the eyes of both a white family and a black family. The film's first half is driven by the excellent performance of Dutton as ██████████████████████ and evenly spreads the storyline between the families. However, Dutton's character is killed halfway through and the black family is completely forgotten in a dull, incoherent, and downright awful 2nd half. RATING: 4 out of 10. Not rated (later rated PG-13 for video/DVD release).
adityakasturi8	training	Cox	I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see ███ outside of the incessantly brittle he is in these days, if only for brief moments. I also enjoyed trying to place the episodes included by the length of the character's hair (or height, in case of JD) and the youthfulness of the earliest episodes. I can also see how Zach might be well on the way to a very Chevy Chase/or is that Matthew Perry? prat-fall induced chemical slide (already acknowledged on Conan). A little side note, the song (now stuck in my head) from the janitor-induced dance montage was "Diner" by Martin Sexton.
adityakasturi8	training	Coxism State	I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see Cox outside of the incessantly brittle "████████████" he is in these days, if only for brief moments. I also enjoyed trying to place the episodes included by the length of the character's hair (or height, in case of JD) and the youthfulness of the earliest episodes. I can also see how Zach might be well on the way to a very Chevy Chase/or is that Matthew Perry? prat-fall induced chemical slide (already acknowledged on Conan). A little side note, the song (now stuck in my head) from the janitor-induced dance montage was "Diner" by Martin Sexton.
adityakasturi8	training	Zach	I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see Cox outside of the incessantly brittle "Coxism State" he is in these days, if only for brief moments. I also enjoyed trying to place the episodes included by the length of the character's hair (or height, in case of JD) and the youthfulness of the earliest episodes. I can also see how ████ might be well on the way to a very Chevy Chase/or is that Matthew Perry? prat-fall induced chemical slide (already acknowledged on Conan). A little side note, the song (now stuck in my head) from the janitor-induced dance montage was "Diner" by Martin Sexton.
adityakasturi8	training	Chevy	I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see Cox outside of the incessantly brittle "Coxism State" he is in these days, if only for brief moments. I also enjoyed trying to place the episodes included by the length of the character's hair (or height, in case of JD) and the youthfulness of the earliest episodes. I can also see how Zach might be well on the way to a very █████ Chase/or is that Matthew Perry? prat-fall induced chemical slide (already acknowledged on Conan). A little side note, the song (now stuck in my head) from the janitor-induced dance montage was "Diner" by Martin Sexton.
adityakasturi8	training	Matthew Perry	I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see Cox outside of the incessantly brittle "Coxism State" he is in these days, if only for brief moments. I also enjoyed trying to place the episodes included by the length of the character's hair (or height, in case of JD) and the youthfulness of the earliest episodes. I can also see how Zach might be well on the way to a very Chevy Chase/or is that █████████████? prat-fall induced chemical slide (already acknowledged on Conan). A little side note, the song (now stuck in my head) from the janitor-induced dance montage was "Diner" by Martin Sexton.
adityakasturi8	training	Martin Sexton	I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see Cox outside of the incessantly brittle "Coxism State" he is in these days, if only for brief moments. I also enjoyed trying to place the episodes included by the length of the character's hair (or height, in case of JD) and the youthfulness of the earliest episodes. I can also see how Zach might be well on the way to a very Chevy Chase/or is that Matthew Perry? prat-fall induced chemical slide (already acknowledged on Conan). A little side note, the song (now stuck in my head) from the janitor-induced dance montage was "Diner" by █████████████.
adityakasturi8	training	Cox	The only reason I am commenting is because I finally figured out why Dr. ███ was bald. Although we probably all realized it at the same time this week, because they showed these episodes in a different order than they filmed them. The latest episode when our favorite grumpy, Jesus-loving Nurse Roberts dies. For shame, Scrubs. They've made mistakes like this before. I remember when Elliot is trying to date Scott Foley and her hair is wet 2 seconds before water hits her. I try not to notice these things, but my favorite show needs to step it up.
adityakasturi8	training	Elliot	The only reason I am commenting is because I finally figured out why Dr. Cox was bald. Although we probably all realized it at the same time this week, Dr. Cox is bald because they showed these episodes in a different order than they filmed them. The latest episode when our favorite grumpy, Jesus-loving Nurse Roberts dies Dr. Cox shaves his head. The must have showed them out of order for some odd reason and forgot they slipped up the continuity. For shame, Scrubs. They've made mistakes like this before. I remember when ██████ is trying to date Scott Foley and her hair is wet 2 seconds before water hits her. I try not to notice these things, but my favorite show needs to step it up.
adityakasturi8	training	Scott Foley	The only reason I am commenting is because I finally figured out why Dr. Cox was bald. Although we probably all realized it at the same time this week, Dr. Cox is bald because they showed these episodes in a different order than they filmed them. The latest episode when our favorite grumpy, Jesus-loving Nurse Roberts dies Dr. Cox shaves his head. The must have showed them out of order for some odd reason and forgot they slipped up the continuity. For shame, Scrubs. They've made mistakes like this before. I remember when Elliot is trying to date ███████████ and her hair is wet 2 seconds before water hits her. I try not to notice these things, but my favorite show needs to step it up. 
adityakasturi8	training	Salma Hayek	This is just a bad movie. With what seemed to be quite a nice budget it had potential to be much better. It almost were. With the heroine beautiful almost like ███████████, hero fighting almost like Jackie Chan, battles and duels almost like in Crouching Tiger..., music almost like in, say, Conan... etc. Almost. But in the end it's just dull and it is hard to find anything interesting in it. Maybe apart of John Rhys-Davies flying in duel like those warriors in Hero or before-mentioned Crouching Tiger... I am really ashamed of poor old John. He is after all quite a good actor and deserves much better. So as you - so if you still have a chance just watch something else.
adityakasturi8	training	Jackie Chan	This is just a bad movie. With what seemed to be quite a nice budget it had potential to be much better. It almost were. With the heroine beautiful almost like Salma Hayek, hero fighting almost like ███████████, battles and duels almost like in Crouching Tiger..., music almost like in, say, Conan... etc. Almost. But in the end it's just dull and it is hard to find anything interesting in it. Maybe apart of John Rhys-Davies flying in duel like those warriors in Hero or before-mentioned Crouching Tiger... I am really ashamed of poor old John. He is after all quite a good actor and deserves much better. So as you - so if you still have a chance just watch something else.
adityakasturi8	training	Conan	This is just a bad movie. With what seemed to be quite a nice budget it had potential to be much better. It almost were. With the heroine beautiful almost like Salma Hayek, hero fighting almost like Jackie Chan, battles and duels almost like in Crouching Tiger..., music almost like in, say, █████... etc. Almost. But in the end it's just dull and it is hard to find anything interesting in it. Maybe apart of John Rhys-Davies flying in duel like those warriors in Hero or before-mentioned Crouching Tiger... I am really ashamed of poor old John. He is after all quite a good actor and deserves much better. So as you - so if you still have a chance just watch something else.
adityakasturi8	training	John	This is just a bad movie. With what seemed to be quite a nice budget it had potential to be much better. It almost were. With the heroine beautiful almost like Salma Hayek, hero fighting almost like Jackie Chan, battles and duels almost like in Crouching Tiger..., music almost like in, say, Conan... etc. Almost. But in the end it's just dull and it is hard to find anything interesting in it. Maybe apart of ████ Rhys-Davies flying in duel like those warriors in Hero or before-mentioned Crouching Tiger... I am really ashamed of poor old.
adityakasturi8	training	John	This is just a bad movie. With what seemed to be quite a nice budget it had potential to be much better. It almost were. With the heroine beautiful almost like Salma Hayek, hero fighting almost like Jackie Chan, battles and duels almost like in Crouching Tiger..., music almost like in, say, Conan... etc. Almost. But in the end it's just dull and it is hard to find anything interesting in it. Maybe apart of ████ Rhys-Davies flying in duel like those warriors in Hero or before-mentioned Crouching Tiger... I am really ashamed of poor old.
adityakasturi8	training	Melissa	███████ Joan Hart shines! This show is amazing!! There is no match. Except for maybe in Clarissa Explains it All. She was marvelous in that, too. This is SO much better than Buffy, the Vampire Slayer. This show is WONDERFUL!
adityakasturi8	training	Buffy	Melissa Joan Hart shines! This show is amazing!! There is no match. Except for maybe Melissa in Clarissa Explains it All. She was marvelous in that, too. This is SO much better than █████, the Vampire Slayer. This show is WONDERFUL!
adityakasturi8	training	La	It is finally coming out. The first season will be available March 2007. It is currently airing on ABC Family from 4-5 pm eastern time Monday through Friday. The last episode will air on December 19th at 4:30. I missed it the first 100 times around. I wish I could buy the whole series right now. Who does she pick? I have to write 10 lines in order to reply to the first comment. What am I going to say. ██ da da de de. da da de de nope only up to 8 how do I get to 9 almost almost awww 9 now I need 10 - 1, 2, 3, 4, 5, 6, 7, I missed counted this is only number 8. Punky Brewster is pretty awesome too. Almost to 10 almost awwwwww.
adityakasturi8	training	La	It is finally coming out. The first season will be available March 2007. It is currently airing on ABC Family from 4-5 pm eastern time Monday through Friday. The last episode will air on December 19th at 4:30. I missed it the first 100 times around. I wish I could buy the whole series right now. Who does she pick? I have to write 10 lines in order to reply to the first comment. What am I going to say. ██ da da de de. da da de de nope only up to 8 how do I get to 9 almost almost awww 9 now I need 10 - 1, 2, 3, 4, 5, 6, 7, I missed counted this is only number 8. Punky Brewster is pretty awesome too. Almost to 10 almost awwwwww.
adityakasturi8	training	Punky	It is finally coming out. The first season will be available March 2007. It is currently airing on ABC Family from 4-5 pm eastern time Monday through Friday. The last episode will air on December 19th at 4:30. I missed it the first 100 times around. I wish I could buy the whole series right now. Who does she pick? I have to write 10 lines in order to reply to the first comment. What am I going to say. La da da de de. La da da de de nope only up to 8 how do I get to 9 almost almost awww 9 now I need 10 - 1, 2, 3, 4, 5, 6, 7, I missed counted this is only number 8. █████ Brewster is pretty awesome too. Almost to 10 almost awwwwww.
adityakasturi8	training	Mellisa Joan	Oh my gosh i live in Kentucky and when ████████████ hart came to Louisville she went right through my neighborhood and waved at me i am filthy rich so she wanted to look at my neighborhood oh and i Love being rich any ways she came for the Derby back to my interest in the show...... that show makes you want to point your finger at something and make it disappear i mean it is just so creative and i love it i would love to be on that show....... that show is just amazing i mean who ever came up with that show i want to just give them a big kiss i mean it makes me feel better when I'm sick and makes me happy when I'm mad i mean if someone tells me they don't like it i will talk some sense in to you OK OK
adityakasturi8	training	Melissa	when i first started watching these it became one of my favourite shows. ███████ Joan hart is very funny and talented so were the aunts and the other characters and the star of of the show Salem the cat, he was immensely funny. the first few season in my opinion were the best where Sabrina was a teenager in high school adapting to witch life. they were most funniest, most entertaining and most um... good. i'm not a fan of when they started introducing Brad and Dreamer cause i quite liked Valerie, but they were okay the problem was they were only in it for one season. if you're gonna have new people at least keep them.  
adityakasturi8	training	Caroline Rhea	I remember first watching Sabrina when it came to TV in the UK on ITV1 when i was 13/14. I'm now 24 and still love it now as much as i did when i first watched it. I get a little stick from some of my friends for still watching a "kids show" but i don't care! lol █████████████ as "Hilda" is my personal favourite character and Later on Morgan also became another of my favourite characters. I remember spending so much time watching various special events honouring Sabrina on the TV station Nickeleoden UK. I love Mellissa Joan-Hart, she was great in "Clarrissa Explains All" but so much better in this. I was gutted when they decided to finish it! I hope it will soon be released on DVD here in the UK - I'll be first in line! lol x
adityakasturi8	training	Hilda	I remember first watching Sabrina when it came to TV in the UK on ITV1 when i was 13/14. I'm now 24 and still love it now as much as i did when i first watched it. I get a little stick from some of my friends for still watching a "kids show" but i don't care! lol Caroline Rhea as "█████" is my personal favourite character and Later on Morgan also became another of my favourite characters. I remember spending so much time watching various special events honouring Sabrina on the TV station Nickeleoden UK. I love Mellissa Joan-Hart, she was great in "Clarrissa Explains All" but so much better in this. I was gutted when they decided to finish it! I hope it will soon be released on DVD here in the UK - I'll be first in line! lol x
adityakasturi8	training	Morgan	I remember first watching Sabrina when it came to TV in the UK on ITV1 when i was 13/14. I'm now 24 and still love it now as much as i did when i first watched it. I get a little stick from some of my friends for still watching a "kids show" but i don't care! lol Caroline Rhea as "Hilda" is my personal favourite character and Later on ██████ also became another of my favourite characters. I remember spending so much time watching various special events honouring Sabrina on the TV station Nickeleoden UK. I love Mellissa Joan-Hart, she was great in "Clarrissa Explains All" but so much better in this. I was gutted when they decided to finish it! I hope it will soon be released on DVD here in the UK - I'll be first in line! lol x
adityakasturi8	training	Nickeleoden UK	I remember first watching Sabrina when it came to TV in the UK on ITV1 when i was 13/14. I'm now 24 and still love it now as much as i did when i first watched it. I get a little stick from some of my friends for still watching a "kids show" but i don't care! lol Caroline Rhea as "Hilda" is my personal favourite character and Later on Morgan also became another of my favourite characters. I remember spending so much time watching various special events honouring Sabrina on the TV station ██████████████. I love Mellissa Joan-Hart, she was great in "Clarrissa Explains All" but so much better in this. I was gutted when they decided to finish it! I hope it will soon be released on DVD here in the UK - I'll be first in line! lol x
adityakasturi8	training	Mellissa Joan-Hart	I remember first watching Sabrina when it came to TV in the UK on ITV1 when i was 13/14. I'm now 24 and still love it now as much as i did when i first watched it. I get a little stick from some of my friends for still watching a "kids show" but i don't care! lol Caroline Rhea as "Hilda" is my personal favourite character and Later on Morgan also became another of my favourite characters. I remember spending so much time watching various special events honouring Sabrina on the TV station Nickeleoden UK. I love ██████████████████, she was great in "Clarrissa Explains All" but so much better in this. I was gutted when they decided to finish it! I hope it will soon be released on DVD here in the UK - I'll be first in line! lol x
adityakasturi8	training	Clarrissa Explains All	I remember first watching Sabrina when it came to TV in the UK on ITV1 when i was 13/14. I'm now 24 and still love it now as much as i did when i first watched it. I get a little stick from some of my friends for still watching a "kids show" but i don't care! lol Caroline Rhea as "Hilda" is my personal favourite character and Later on Morgan also became another of my favourite characters. I remember spending so much time watching various special events honouring Sabrina on the TV station Nickeleoden UK. I love Mellissa Joan-Hart, she was great in "██████████████████████" but so much better in this. I was gutted when they decided to finish it! I hope it will soon be released on DVD here in the UK - I'll be first in line! lol x
adityakasturi8	training	Sabrina	I used to love ███████ The Teenage Witch and have seen every single episode. I remember when I used to sit at 6pm every night and wait for it to come on Nickelodeon, however left high school the show began to go downhill. The best series has to be when she was friends with Valerie (I'm not sure which one that is). From there the next series (friends with Dreama) was still really good, but when she left high school it just didn't seem right. All the main characters seemed to have left, which meant that it didn't have as much of the old "sparkle", however the first series where ███████ is in college is still relatively good and watchable, however when her aunt's leave and moves into their house it just isn't right. She is no longer a teenager, so therefore the name of the show isn't right and without Hilda and Zelda and Josh the show just doesn't seem right, especially when nearly marries someone that isn't Harvey.
adityakasturi8	training	Lena Olin	Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the audience of this film, and I wasn't disappointed. It does run out of steam near the end, it's almost overflowing with ideas, and it seems like █████████, one of my favorite actresses, was left on the cutting room floor. Also, a little of Hank Azaria's Blue Raja can go a long way. Still, it's easy to forgive all of these faults when you have a film which is this much fun. All the actors seem to be having a blast with their roles, especially William H. Macy as the straight-arrow Shoveler, and Janeane Garofalo as The Bowler. And unlike some, I found the design of the city to make the joke even funnier. I also liked how disco was the music of choice of the bad guys; somehow, it seemed appropriate.
adityakasturi8	training	Blue Raja	Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the audience of this film, and I wasn't disappointed. It does run out of steam near the end, it's almost overflowing with ideas, and it seems like Lena Olin, one of my favorite actresses, was left on the cutting room floor. Also, a little of Hank Azaria's █████████ can go a long way. Still, it's easy to forgive all of these faults when you have a film which is this much fun. All the actors seem to be having a blast with their roles, especially William H. Macy as the straight-arrow Shoveler, and Janeane Garofalo as The Bowler. And unlike some, I found the design of the city to make the joke even funnier. I also liked how disco was the music of choice of the bad guys; somehow, it seemed appropriate.
adityakasturi8	training	William H. Macy	Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the audience of this film, and I wasn't disappointed. It does run out of steam near the end, it's almost overflowing with ideas, and it seems like Lena Olin, one of my favorite actresses, was left on the cutting room floor. Also, a little of Hank Azaria's Blue Raja can go a long way. Still, it's easy to forgive all of these faults when you have a film which is this much fun. All the actors seem to be having a blast with their roles, especially ███████████████ as the straight-arrow Shoveler, and Janeane Garofalo as The Bowler. And unlike some, I found the design of the city to make the joke even funnier. I also liked how disco was the music of choice of the bad guys; somehow, it seemed appropriate.
adityakasturi8	training	Shoveler	Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the audience of this film, and I wasn't disappointed. It does run out of steam near the end, it's almost overflowing with ideas, and it seems like Lena Olin, one of my favorite actresses, was left on the cutting room floor. Also, a little of Hank Azaria's Blue Raja can go a long way. Still, it's easy to forgive all of these faults when you have a film which is this much fun. All the actors seem to be having a blast with their roles, especially William H. Macy as the straight-arrow ████████, and Janeane Garofalo as The Bowler. And unlike some, I found the design of the city to make the joke even funnier. I also liked how disco was the music of choice of the bad guys; somehow, it seemed appropriate.
adityakasturi8	training	Janeane Garofalo	Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the audience of this film, and I wasn't disappointed. It does run out of steam near the end, it's almost overflowing with ideas, and it seems like Lena Olin, one of my favorite actresses, was left on the cutting room floor. Also, a little of Hank Azaria's Blue Raja can go a long way. Still, it's easy to forgive all of these faults when you have a film which is this much fun. All the actors seem to be having a blast with their roles, especially William H. Macy as the straight-arrow Shoveler, and ████████████████ as The Bowler. And unlike some, I found the design of the city to make the joke even funnier. I also liked how disco was the music of choice of the bad guys; somehow, it seemed appropriate.
adityakasturi8	training	Ben Stiller	In the history of movies based on comic books, "Mystery Men" is one of the most underrated ones. This is no regular comic superhero movie! It follows the exploits of a motley crew of well-meaning wannabes, which include Mr. Furious (played by ███████████), the Bowler (Janeane Garofalo), the Shoveller (William H. Macy), the Blue Rajah (Hank Azariah) and the Spleen (Paul Reubens). "Mystery Men" spoofs several aspects of superhero movies like "Superman" or "Batman," such as the pithy sayings, and the questions about secret identities. Most of the superheroes aren't billionaires like Bruce Wayne, but blue-collar types with menial jobs and neurotic home lives. So it looks as if director Kinka Usher is making the heroes into something the average viewer can relate to. I found "Mystery Men" to be visually stimulating and very funny. Even if it doesn't turn into a franchise, it's still a joy to watch!
adityakasturi8	training	Bachan	I was expecting a lot from Mr.Amitabh ██████'s role of SARKAR, but am disappointed. Being a Ram Gopal Verma's direction i was not ready for this kind of a movie. Sarkar is supposed to be a strong character, but the movie shows that Amitabh is too dependent on others power rather than his. There is a movie in Tamil called Nayakan based on the theme of GOD FATHER and Kamala Hassan has played the lead. The movie is well directed and the power till the end remains in the hands of Kamala Hassan, not his son. Amitab seems to be too helpless in the movie and he just accepts everything instead of changing things. The movie fails to show the strong impact of God Father.
adityakasturi8	training	Amitabh	I was expecting a lot from Mr.███████ Bachan's role of SARKAR, but am disappointed. Being a Ram Gopal Verma's direction i was not ready for this kind of a movie. Sarkar is supposed to be a strong character, but the movie shows that is too dependent on others power rather than his. There is a movie in Tamil called Nayakan based on the theme of GOD FATHER and Kamala Hassan has played the lead. The movie is well directed and the power till the end remains in the hands of Kamala Hassan, not his son. Bachan seems to be too helpless in the movie and he just accepts everything instead of changing things. The movie fails to show the strong impact of God Father.
adityakasturi8	training	Nayakan	I was expecting a lot from Mr.Amitabh Bachan's role of SARKAR, but am disappointed. Being a Ram Gopal Verma's direction i was not ready for this kind of a movie. Sarkar is supposed to be a strong character, but the movie shows that Amitabh is too dependent on others power rather than his. There is a movie in Tamil called ███████ based on the theme of GOD FATHER and Kamala Hassan has played the lead. The movie is well directed and the power till the end remains in the hands of Kamala Hassan, not his son. Amitabh Bachan seems to be too helpless in the movie and he just accepts everything instead of changing things. The movie fails to show the strong impact of God Father.
adityakasturi8	training	Kamala Hassan	I was expecting a lot from Mr.Amitabh Bachan's role of SARKAR, but am disappointed. Being a Ram Gopal Verma's direction i was not ready for this kind of a movie. Sarkar is supposed to be a strong character, but the movie shows that Amitabh is too dependent on others power rather than his. There is a movie in Tamil called Nayakan based on the theme of GOD FATHER and █████████████ has played the lead. The movie is well directed and the power till the end remains in the hands of his son. Amitabh Bachan seems to be too helpless in the movie and he just accepts everything instead of changing things. The movie fails to show the strong impact of God Father.
adityakasturi8	training	Amitabh	I was expecting a lot from Mr.███████ Bachan's role of SARKAR, but am disappointed. Being a Ram Gopal Verma's direction i was not ready for this kind of a movie. Sarkar is supposed to be a strong character, but the movie shows that is too dependent on others power rather than his. There is a movie in Tamil called Nayakan based on the theme of GOD FATHER and Kamala Hassan has played the lead. The movie is well directed and the power till the end remains in the hands of Kamala Hassan, not his son.
